DateTime,Open,High,Low,Close,Volume
2021-01-03 18:00:00,3739.0,3745.75,3732.75,3739.25,19741
2021-01-03 19:00:00,3739.5,3739.75,3728.5,3731.0,17496
2021-01-03 20:00:00,3731.0,3739.75,3730.25,3737.75,12653
2021-01-03 21:00:00,3738.0,3741.5,3736.5,3737.5,7134
2021-01-03 22:00:00,3737.25,3741.0,3736.75,3739.75,4846
2021-01-03 23:00:00,3739.75,3741.25,3737.0,3738.5,3858
2021-01-04 00:00:00,3738.75,3739.75,3735.5,3739.5,4921
2021-01-04 01:00:00,3739.5,3742.75,3738.5,3742.0,6957
2021-01-04 02:00:00,3742.0,3755.75,3742.0,3755.0,16308
2021-01-04 03:00:00,3755.0,3756.75,3749.75,3753.25,27948
2021-01-04 04:00:00,3753.0,3763.5,3752.75,3761.25,19146
2021-01-04 05:00:00,3761.0,3763.0,3757.25,3758.25,9832
2021-01-04 06:00:00,3758.25,3761.0,3757.0,3757.75,7308
2021-01-04 07:00:00,3757.75,3758.25,3753.25,3757.75,13584
2021-01-04 08:00:00,3757.25,3758.0,3751.25,3752.25,20937
2021-01-04 09:00:00,3752.25,3754.0,3726.75,3730.75,234502
2021-01-04 10:00:00,3730.75,3733.0,3693.0,3695.25,293154
2021-01-04 11:00:00,3695.25,3699.75,3661.5,3664.25,319063
2021-01-04 12:00:00,3664.25,3667.25,3642.75,3657.25,256750
2021-01-04 13:00:00,3657.25,3681.0,3655.0,3680.25,134196
2021-01-04 14:00:00,3680.25,3680.75,3660.5,3674.25,169845
2021-01-04 15:00:00,3674.25,3689.5,3665.0,3683.75,308975
2021-01-04 16:00:00,3684.0,3688.75,3678.5,3686.25,61982
2021-01-04 18:00:00,3685.25,3686.0,3676.75,3683.5,10518
2021-01-04 19:00:00,3683.5,3690.0,3682.5,3688.75,11050
2021-01-04 20:00:00,3689.0,3695.25,3688.75,3691.25,11377
2021-01-04 21:00:00,3691.0,3694.75,3690.75,3693.0,5384
2021-01-04 22:00:00,3693.0,3695.25,3679.5,3682.75,13459
2021-01-04 23:00:00,3682.75,3683.75,3676.0,3680.75,8553
2021-01-05 00:00:00,3681.0,3686.0,3678.75,3684.0,7655
2021-01-05 01:00:00,3684.0,3691.25,3683.0,3690.5,8137
2021-01-05 02:00:00,3690.75,3691.25,3668.0,3669.75,16215
2021-01-05 03:00:00,3669.5,3693.75,3669.5,3687.0,31837
2021-01-05 04:00:00,3686.75,3693.25,3684.0,3688.5,14524
2021-01-05 05:00:00,3688.5,3692.0,3687.0,3688.5,6495
2021-01-05 06:00:00,3688.75,3694.25,3681.5,3684.25,13393
2021-01-05 07:00:00,3684.0,3685.75,3671.25,3680.0,25091
2021-01-05 08:00:00,3679.75,3682.25,3664.25,3664.75,40784
2021-01-05 09:00:00,3665.0,3702.75,3663.5,3696.5,200364
2021-01-05 10:00:00,3696.5,3704.25,3678.75,3682.5,221295
2021-01-05 11:00:00,3682.75,3695.5,3677.25,3692.0,135032
2021-01-05 12:00:00,3692.0,3700.0,3690.75,3699.5,97863
2021-01-05 13:00:00,3699.5,3703.75,3698.0,3703.5,70391
2021-01-05 14:00:00,3703.75,3720.25,3703.5,3709.25,136455
2021-01-05 15:00:00,3709.5,3716.0,3703.5,3707.75,217391
2021-01-05 16:00:00,3707.75,3710.75,3704.75,3707.75,52672
2021-01-05 18:00:00,3707.75,3710.5,3701.25,3704.25,8285
2021-01-05 19:00:00,3704.25,3725.0,3703.0,3709.25,32893
2021-01-05 20:00:00,3709.5,3713.0,3685.25,3697.5,51059
2021-01-05 21:00:00,3697.5,3703.5,3682.0,3686.75,37646
2021-01-05 22:00:00,3686.75,3692.25,3678.5,3683.75,23885
2021-01-05 23:00:00,3683.75,3694.75,3676.5,3684.0,27398
2021-01-06 00:00:00,3684.0,3695.5,3682.0,3687.0,12898
2021-01-06 01:00:00,3687.0,3698.0,3686.5,3696.5,7941
2021-01-06 02:00:00,3696.75,3709.5,3694.0,3701.75,14520
2021-01-06 03:00:00,3701.75,3701.75,3677.5,3680.75,36179
2021-01-06 04:00:00,3680.75,3702.25,3675.75,3699.0,26546
2021-01-06 05:00:00,3698.75,3704.5,3692.75,3699.0,20162
2021-01-06 06:00:00,3699.25,3700.75,3687.5,3699.5,19481
2021-01-06 07:00:00,3699.25,3709.0,3692.75,3694.5,31880
2021-01-06 08:00:00,3694.5,3702.25,3686.5,3689.5,35678
2021-01-06 09:00:00,3689.5,3718.75,3686.0,3717.0,210610
2021-01-06 10:00:00,3717.0,3752.75,3714.0,3746.0,258117
2021-01-06 11:00:00,3746.0,3756.5,3745.25,3749.0,161881
2021-01-06 12:00:00,3749.25,3760.75,3748.75,3759.5,96755
2021-01-06 13:00:00,3759.5,3765.0,3755.75,3760.25,106390
2021-01-06 14:00:00,3760.25,3764.25,3725.25,3740.0,322458
2021-01-06 15:00:00,3739.75,3747.25,3723.75,3730.75,422264
2021-01-06 16:00:00,3730.75,3745.25,3720.25,3739.5,90284
2021-01-06 18:00:00,3742.75,3744.5,3736.5,3740.0,11052
2021-01-06 19:00:00,3740.0,3745.25,3732.25,3745.0,18403
2021-01-06 20:00:00,3745.25,3755.25,3742.25,3754.25,17724
2021-01-06 21:00:00,3754.25,3755.25,3750.0,3753.5,9599
2021-01-06 22:00:00,3753.75,3760.75,3750.75,3752.5,10380
2021-01-06 23:00:00,3752.5,3754.0,3747.5,3748.25,4815
2021-01-07 00:00:00,3748.5,3752.25,3745.25,3751.5,7058
2021-01-07 01:00:00,3751.5,3759.25,3751.25,3759.0,7031
2021-01-07 02:00:00,3759.0,3763.5,3756.5,3758.25,15937
2021-01-07 03:00:00,3758.0,3759.25,3747.25,3753.0,25928
2021-01-07 04:00:00,3753.0,3755.75,3743.5,3748.25,17337
2021-01-07 05:00:00,3748.0,3750.75,3740.0,3740.5,14780
2021-01-07 06:00:00,3740.5,3747.25,3737.25,3740.5,17172
2021-01-07 07:00:00,3740.5,3753.25,3740.0,3750.5,18052
2021-01-07 08:00:00,3750.5,3753.75,3746.0,3748.75,25425
2021-01-07 09:00:00,3748.75,3774.25,3748.5,3773.5,186647
2021-01-07 10:00:00,3773.5,3790.25,3772.0,3789.5,243017
2021-01-07 11:00:00,3789.5,3793.5,3781.25,3782.75,119985
2021-01-07 12:00:00,3783.0,3784.75,3777.75,3784.0,73720
2021-01-07 13:00:00,3784.25,3786.75,3779.25,3784.5,82549
2021-01-07 14:00:00,3784.75,3787.75,3781.25,3787.75,72447
2021-01-07 15:00:00,3787.75,3794.25,3783.0,3785.5,197212
